INPUT_TABLE
Variable ID
12

sector,subsector,subsector2,technology,year,pollutant
peak generation,coal,coal_peak_conv pul_retire_2020,coal (conv pul) (once through),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul_retire_2020,coal (conv pul) (recirculating),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul_retire_2020,coal (conv pul) (seawater),2015,CO2_ELEC
peak generation,gas,gas_peak_CC,gas (CC) (cooling pond),2015,CO2_ELEC
peak generation,gas,gas_peak_CC,gas (CC) (dry cooling),2015,CO2_ELEC
peak generation,gas,gas_peak_CC,gas (CC) (once through),2015,CO2_ELEC
peak generation,gas,gas_peak_CC,gas (CC) (recirculating),2015,CO2_ELEC
peak generation,gas,gas_peak_CC,gas (CC) (seawater),2015,CO2_ELEC
peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),2015,CO2_ELEC
peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),2015,CO2_ELEC
peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),2015,CO2_ELEC
peak generation,gas,gas_peak_steam/CT,gas (steam/CT) (cooling pond),2015,CO2_ELEC
